File,Line,Event
Mage/Core/Model/Locale.php,582,currency_display_options_forming
Mage/Core/Model/Resource.php,278,resource_get_tablename
Mage/Api/Model/User.php,211,api_user_authenticated
Mage/Poll/controllers/VoteController.php,67,poll_vote_add
Mage/XmlConnect/controllers/CartController.php,225,checkout_cart_add_product_complete
Mage/XmlConnect/controllers/CartController.php,355,enterprise_giftcardaccount_add
Mage/XmlConnect/controllers/ReviewController.php,43,review_controller_product_init_before
Mage/XmlConnect/controllers/ReviewController.php,49,review_controller_product_init
Mage/XmlConnect/controllers/WishlistController.php,139,wishlist_add_product
Mage/XmlConnect/controllers/CheckoutController.php,334,checkout_controller_onepage_save_shipping_method
Mage/XmlConnect/controllers/CheckoutController.php,344,checkout_controller_onepage_save_shipping_method
Mage/XmlConnect/Model/Queue.php,292,before_save_message_queue
Mage/CatalogIndex/Model/Resource/Price.php,138,catalogindex_prepare_price_select
Mage/CatalogIndex/Model/Resource/Price.php,177,catalogindex_prepare_price_select
Mage/CatalogIndex/Model/Resource/Price.php,231,catalogindex_prepare_price_select
Mage/CatalogIndex/Model/Resource/Price.php,281,catalogindex_prepare_price_select
Mage/CatalogIndex/Model/Indexer.php,372,catalogindex_plain_reindex_after
Mage/CatalogIndex/Model/Indexer.php,632,catalogindex_prepare_price_select
Mage/CatalogIndex/Model/Data/Abstract.php,204,catalogindex_get_minimal_price
Mage/Index/Model/Indexer.php,157,start_index_events' . $this->_getEventTypeName($entity
Mage/Index/Model/Indexer.php,182,end_index_events' . $this->_getEventTypeName($entity
Mage/Index/Model/Indexer.php,249,start_process_event' . $this->_getEventTypeName($entityType
Mage/Index/Model/Indexer.php,280,end_process_event' . $this->_getEventTypeName($entityType
Mage/Index/Model/Process.php,224,after_reindex_process_' . $this->getIndexerCode(
Mage/Index/Model/Process.php,505,index_process_change_status
Mage/CurrencySymbol/Model/System/Currencysymbol.php,218,admin_system_config_changed_section_currency_before_reinit
Mage/CurrencySymbol/Model/System/Currencysymbol.php,228,admin_system_config_changed_section_currency
Mage/Review/controllers/ProductController.php,73,review_controller_product_init_before
Mage/Review/controllers/ProductController.php,88,review_controller_product_init
Mage/Review/Model/Resource/Review/Collection.php,269,review_review_collection_load_before
Mage/GiftMessage/Block/Message/Inline.php,177,gift_options_prepare_items
Mage/GiftMessage/Model/Api.php,64,magento/Mage/GiftMessage/Model/Api.php
Mage/GiftMessage/Model/Api.php,67,checkout_controller_onepage_save_shipping_method
Mage/GiftMessage/Model/Api/V2.php,91,magento/Mage/GiftMessage/Model/Api/V2.php
Mage/GiftMessage/Model/Api/V2.php,94,checkout_controller_onepage_save_shipping_method
Mage/Payment/Block/Form/Cc.php,154,payment_form_block_to_html_before
Mage/Payment/Block/Info.php,166,payment_info_block_prepare_specific_information
Mage/Payment/Model/Method/Abstract.php,642,payment_method_is_active
Mage/CatalogRule/Model/Resource/Rule.php,395,catalogrule_before_apply
Mage/CatalogRule/Model/Resource/Rule.php,533,catalogrule_after_apply
Mage/SalesRule/Model/Validator.php,425,salesrule_validator_process
Mage/SalesRule/Model/Rule.php,398,salesrule_rule_get_coupon_types
Mage/SalesRule/Model/Rule/Condition/Combine.php,54,salesrule_rule_condition_combine
Mage/SalesRule/Model/Quote/Discount.php,86,sales_quote_address_discount_item
Mage/SalesRule/Model/Quote/Discount.php,92,sales_quote_address_discount_item
Mage/Sales/Model/Resource/Order/Address/Collection.php,69,$this->_eventPrefix . '_load_after
Mage/Sales/Model/Resource/Order/Abstract.php,142,$this->_eventPrefix . '_init_virtual_grid_columns
Mage/Sales/Model/Resource/Order/Abstract.php,167,$this->_eventPrefix . '_update_grid_records
Mage/Sales/Model/Resource/Order/Abstract.php,295,$this->_eventPrefix . '_save_attribute_before
